Method,Seed,bin,left,right,count,mean_confidence,accuracy,weight
no_rarity_conditioning,22,7,0.4,0.4666666666666667,2872,0.45404598116874695,0.4801532033426184,0.02440412966818201
no_rarity_conditioning,22,8,0.4666666666666667,0.5333333333333333,24561,0.5240534543991089,0.6145515247750499,0.20870119386497854
no_rarity_conditioning,22,9,0.5333333333333333,0.6,33577,0.5762190222740173,0.6989308157369628,0.28531248672303183
no_rarity_conditioning,22,10,0.6,0.6666666666666666,2750,0.6361145973205566,0.8221818181818182,0.0233674639928623
no_rarity_conditioning,22,11,0.6666666666666666,0.7333333333333333,962,0.7005061507225037,0.896049896049896,0.008174363767684921
no_rarity_conditioning,22,12,0.7333333333333333,0.8,1446,0.7707579731941223,0.9405255878284924,0.012287037430428686
no_rarity_conditioning,22,13,0.8,0.8666666666666667,4138,0.8337037563323975,0.9842919284678588,0.035161660364532436
no_rarity_conditioning,22,14,0.8666666666666667,0.9333333333333333,1024,0.900779128074646,0.9970703125,0.008701193864978545
no_rarity_conditioning,22,15,0.9333333333333333,1.0,44134,0.9912043213844299,1.0,0.3750180566767218
no_sparse_experts,11,1,0.0,0.06666666666666667,0,,,0.0
no_sparse_experts,11,2,0.06666666666666667,0.13333333333333333,281,0.12268700450658798,0.11743772241992882,0.002387729957088839
no_sparse_experts,11,3,0.13333333333333333,0.2,840,0.1633034348487854,0.28809523809523807,0.007137698092365212
no_sparse_experts,11,4,0.2,0.26666666666666666,515,0.23035819828510284,0.4174757281553398,0.004376088711390577
no_sparse_experts,11,5,0.26666666666666666,0.3333333333333333,556,0.3013475239276886,0.48381294964028776,0.004724476356375069
no_sparse_experts,11,6,0.3333333333333333,0.4,684,0.3682432472705841,0.6461988304093568,0.005812125589497387
no_sparse_experts,11,7,0.4,0.4666666666666667,887,0.4348268508911133,0.6685456595264938,0.007537069295152314
no_sparse_experts,11,8,0.4666666666666667,0.5333333333333333,12394,0.5051020979881287,0.8218492819106019,0.10531503590092195
no_sparse_experts,11,9,0.5333333333333333,0.6,1877,0.5670608282089233,0.7075119872136388,0.01594935633258274
no_sparse_experts,11,10,0.6,0.6666666666666666,5238,0.6412842273712158,0.8854524627720504,0.04450864596167736
no_sparse_experts,11,11,0.6666666666666666,0.7333333333333333,7647,0.6972198486328125,0.9742382633712567,0.06497854441942473
no_sparse_experts,11,12,0.7333333333333333,0.8,13132,0.7657301425933838,0.9913950654888821,0.11158601351064282
no_sparse_experts,11,13,0.8,0.8666666666666667,6516,0.827383816242218,0.9717618170656844,0.055368143773633006
no_sparse_experts,11,14,0.8666666666666667,0.9333333333333333,6744,0.898830771446228,0.9793890865954923,0.057305518970132134
no_sparse_experts,11,15,0.9333333333333333,1.0,60374,0.9747200012207031,0.9997184218372147,0.5130135531291159
no_sparse_experts,22,1,0.0,0.06666666666666667,0,,,0.0
no_sparse_experts,22,2,0.06666666666666667,0.13333333333333333,105,0.12463226169347763,0.02857142857142857,0.0008922122615456515
no_sparse_experts,22,3,0.13333333333333333,0.2,835,0.16496890783309937,0.18922155688622755,0.007095211794196372
no_sparse_experts,22,4,0.2,0.26666666666666666,523,0.2305087149143219,0.3690248565965583,0.004444066788460721
no_sparse_experts,22,5,0.26666666666666666,0.3333333333333333,581,0.3013453185558319,0.5611015490533563,0.004936907847219272
no_sparse_experts,22,6,0.3333333333333333,0.4,1579,0.38338539004325867,0.6060797973400887,0.013417172961719846
no_sparse_experts,22,7,0.4,0.4666666666666667,13737,0.4471489191055298,0.54021984421635,0.11672685558907252
no_sparse_experts,22,8,0.4666666666666667,0.5333333333333333,25273,0.5178840160369873,0.588216673920785,0.21475124272422144
no_sparse_experts,22,9,0.5333333333333333,0.6,9710,0.5539894104003906,0.6801235839340886,0.08250839104388835
no_sparse_experts,22,10,0.6,0.6666666666666666,16052,0.6199836134910583,0.7438325442312484,0.1363980116412457
no_sparse_experts,22,11,0.6666666666666666,0.7333333333333333,1549,0.6931498050689697,0.9257585539057457,0.013162255172706801
no_sparse_experts,22,12,0.7333333333333333,0.8,952,0.7685505151748657,0.9338235294117647,0.00808939117134724
no_sparse_experts,22,13,0.8,0.8666666666666667,2750,0.8396443724632263,0.9727272727272728,0.0233674639928623
no_sparse_experts,22,14,0.8666666666666667,0.9333333333333333,3067,0.900915265083313,0.9983697424193022,0.02606109529676679
no_sparse_experts,22,15,0.9333333333333333,1.0,40972,0.9833604097366333,0.9999267792638875,0.348149721714747
